ts,latency_s,decode_tps,ntok,prefill_tps
1786376824.2,4.89,26.45,128,354.4
1786376828.2,4.02,26.47,105,354.9
1786376833.1,4.89,26.45,128,354.4
1786376838.0,4.89,26.43,128,354.4
1786376842.9,4.89,26.43,128,354.9
1786376847.8,4.89,26.45,128,354.8
1786376852.7,4.89,26.45,128,354.2
1786376857.6,4.89,26.44,128,354.9
1786376862.5,4.89,26.45,128,354.8
1786376867.4,4.89,26.45,128,354.0
1786376872.3,4.89,26.44,128,354.7
1786376877.2,4.89,26.45,128,355.0
1786376881.2,4.02,26.47,105,355.0
1786376886.1,4.89,26.44,128,354.9
1786376889.7,3.64,26.51,95,354.7
1786376894.1,4.40,26.46,115,354.7
1786376899.0,4.89,26.44,128,354.3
